LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,Guadalajara,San Pedro Tlaquepaque,Tlajomulco de Zúñiga,Tonalá,Zapopan,venta,precio
322,447,0,3,5,20.0,0,1,0,0,0,0,1,14200000.0
55,130,1,0,2,35.0,1,1,0,0,0,0,1,2890000.0
350,545,0,1,10,39.0,1,1,0,0,0,0,1,13570000.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
120,394,0,5,4,5.0,0,1,0,0,0,0,1,7390000.0
700,678,0,6,5,35.0,1,1,0,0,0,0,1,26800000.0
592,828,0,2,8,77.0,1,1,0,0,0,0,1,13480000.0
311,427,0,3,8,45.0,0,1,0,0,0,0,1,6950000.0
69,130,1,1,4,30.0,1,1,0,0,0,0,1,3500000.0
165,197,0,0,4,39.0,0,1,0,0,0,0,1,5300000.0
790,260,0,4,4,23.0,1,1,0,0,0,0,1,24400000.0
411,607,0,2,6,40.0,1,1,0,0,0,0,1,16596000.0
687,577,0,5,3,2.0,0,1,0,0,0,0,1,30120000.0
120,160,0,1,6,58.0,0,1,0,0,0,0,1,2790000.0
120,202,0,1,4,51.0,0,1,0,0,0,0,1,4050000.0
350,730,0,4,8,10.0,0,1,0,0,0,0,1,13300000.0
61,117,0,1,3,0.0,0,1,0,0,0,0,1,3499000.0
579,569,0,4,7,39.0,0,1,0,0,0,0,1,16950000.0
626,510,0,8,11,35.0,1,1,0,0,0,0,1,19500000.0
448,172,0,0,0,0.0,0,1,0,0,0,0,1,7200000.0
152,185,0,1,3,0.0,0,1,0,0,0,0,1,6000000.0
250,404,0,3,5,30.0,0,1,0,0,0,0,1,13950000.0
250,215,0,1,3,45.0,1,1,0,0,0,0,1,7400000.0
521,636,0,4,4,35.0,1,1,0,0,0,0,1,27000000.0
483,415,0,5,5,25.0,0,1,0,0,0,0,1,13900000.0
114,294,0,0,6,35.0,0,1,0,0,0,0,1,2599000.0
182,407,0,3,13,30.0,0,1,0,0,0,0,1,8700000.0
90,90,1,0,3,25.0,0,1,0,0,0,0,1,2400000.0
1044,1399,0,6,4,0.0,1,1,0,0,0,0,1,39500000.0
213,292,0,1,6,40.0,1,1,0,0,0,0,1,3600000.0
250,344,0,3,5,45.0,0,1,0,0,0,0,1,9590000.0
500,223,0,3,3,0.0,1,1,0,0,0,0,1,16500000.0
797,983,0,0,16,0.0,0,1,0,0,0,0,1,14900000.0
200,317,0,1,4,50.0,1,1,0,0,0,0,1,5200000.0
347,461,0,2,9,30.0,1,1,0,0,0,0,1,8300000.0
1397,509,0,7,4,47.0,1,1,0,0,0,0,1,46000000.0
315,230,0,6,3,24.0,1,1,0,0,0,0,1,13200000.0
178,167,0,3,3,0.0,0,1,0,0,0,0,1,5190000.0
324,300,0,4,0,60.0,1,1,0,0,0,0,1,13000000.0
299,304,0,3,5,30.0,0,1,0,0,0,0,1,9412000.0
512,260,0,2,3,0.0,0,1,0,0,0,0,1,13500000.0
51,51,1,1,2,30.0,0,1,0,0,0,0,1,1690000.0
281,338,0,2,3,20.0,1,1,0,0,0,0,1,7500000.0
626,510,0,8,11,35.0,1,1,0,0,0,0,1,19500000.0
306,393,0,5,5,30.0,1,1,0,0,0,0,1,10250000.0
115,233,0,1,4,42.0,0,1,0,0,0,0,1,4490000.0
190,198,1,1,1,10.0,0,1,0,0,0,0,1,6500000.0
205,205,0,2,3,0.0,1,1,0,0,0,0,1,8669200.0
175,218,0,2,4,20.0,0,1,0,0,0,0,1,5600000.0
521,349,0,2,4,55.0,1,1,0,0,0,0,1,13000000.0
460,377,0,4,3,15.0,1,0,0,0,0,1,1,21550000.0
198,223,0,3,3,2.0,0,0,0,1,0,0,1,5992000.0
600,500,0,6,6,0.0,1,0,0,0,0,1,1,31354045.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
242,272,0,1,3,30.0,1,1,0,0,0,0,1,11500000.0
495,450,0,4,3,0.0,1,0,0,0,0,1,1,24890000.0
405,457,0,10,4,5.0,0,0,0,0,0,1,1,20980000.0
267,338,0,3,3,7.0,0,0,0,0,0,1,1,16500000.0
2729,2729,0,10,6,7.0,0,0,0,0,0,1,1,94000000.0
180,273,0,2,3,0.0,1,0,0,0,0,1,1,8500000.0
160,190,0,2,6,3.0,0,0,0,0,0,1,1,4999999.0
301,325,0,3,0,10.0,1,0,0,0,0,1,1,8000000.0
1240,550,0,7,4,8.0,1,0,0,0,0,1,1,64900000.0
420,550,0,6,3,10.0,1,0,0,0,0,1,1,24998000.0
208,209,0,1,3,15.0,1,0,0,0,0,1,1,7990000.0
467,320,0,4,5,0.0,1,0,0,0,0,1,1,23906885.0
90,51,1,1,2,0.0,0,0,0,0,0,1,1,1065000.0
722,673,0,5,3,25.0,1,0,0,0,0,1,1,27500000.0
139,202,0,2,3,0.0,1,0,0,0,0,1,1,8990000.0
190,257,0,3,3,5.0,0,0,0,0,0,1,1,7900000.0
160,220,0,3,4,0.0,1,0,0,0,0,1,1,7900000.0
120,190,0,2,4,0.0,0,0,0,0,0,1,1,4550000.0
361,515,0,4,3,7.0,1,0,0,0,0,1,1,32000000.0
72,64,1,1,2,17.0,1,0,0,0,0,1,1,1250000.0
105,143,0,2,3,3.0,0,0,0,0,0,1,1,4350000.0
82,110,0,2,2,0.0,1,0,0,0,0,1,1,3350082.0
256,420,0,6,6,0.0,1,0,0,0,0,1,1,19080096.0
328,377,0,3,3,0.0,0,0,0,0,0,1,1,17800000.0
376,600,0,7,7,0.0,1,0,0,0,0,1,1,27974632.0
99,115,0,2,3,0.0,1,0,0,0,0,1,1,3094000.0
800,700,0,7,3,20.0,1,0,0,0,0,1,1,34700000.0
115,185,0,2,4,0.0,0,0,0,0,0,1,1,4900000.0
1595,689,0,6,5,28.0,1,0,0,0,0,1,1,60078000.0
300,325,0,3,3,10.0,1,0,0,0,0,1,1,11490000.0
152,220,0,3,4,0.0,1,0,0,0,0,1,1,8740000.0
256,420,0,6,6,0.0,1,0,0,0,0,1,1,19080096.0
115,156,0,2,3,0.0,1,0,0,0,0,1,1,4300000.0
917,500,0,6,4,28.0,1,0,0,0,0,1,1,36507000.0
232,149,0,2,3,0.0,1,0,0,0,0,1,1,8950000.0
1100,1100,0,6,3,3.0,0,0,0,0,0,1,1,69000000.0
365,537,0,4,3,7.0,1,0,0,0,0,1,1,32000000.0
520,525,0,4,4,17.0,0,0,0,0,0,1,1,18265000.0
302,302,0,3,3,24.0,1,0,0,0,0,1,1,9900000.0
148,238,0,2,3,0.0,1,0,0,0,0,1,1,9830000.0
66,82,1,1,2,12.0,0,0,0,0,0,1,1,2200000.0
160,212,0,2,3,0.0,0,0,0,0,0,1,1,6900000.0
154,175,0,2,3,0.0,1,0,0,0,0,1,1,5500000.0
489,620,0,7,7,0.0,1,0,0,0,0,1,1,32615000.0
275,245,0,2,4,20.0,1,0,0,0,0,1,1,7600000.0
990,350,0,4,5,0.0,1,0,0,0,0,1,1,15288224.0
359,363,0,5,3,0.0,1,0,0,0,0,1,1,19950000.0
146,200,0,2,3,0.0,0,0,0,0,0,1,1,8740000.0
157,200,0,3,4,0.0,0,0,0,0,0,1,1,9860000.0
131,210,0,2,3,0.0,1,0,0,0,0,1,1,9680000.0
160,225,0,3,4,6.0,0,0,0,0,0,1,1,7100000.0
238,400,0,6,6,0.0,1,0,0,0,0,1,1,16199900.0
328,377,0,3,3,0.0,0,0,0,0,0,1,1,17800000.0
115,185,0,2,4,0.0,0,0,0,0,0,1,1,4900000.0
433,470,0,4,4,10.0,1,0,0,0,0,1,1,27500000.0
393,550,0,3,4,0.0,1,0,0,0,0,1,1,22900000.0
418,445,0,4,3,0.0,1,0,0,0,0,1,1,21500000.0
969,623,0,4,3,25.0,0,0,0,0,0,1,1,39450000.0
140,217,0,2,3,0.0,0,0,0,0,0,1,1,9550000.0
600,550,0,4,3,18.0,1,0,0,0,0,1,1,26990000.0
336,350,0,4,5,0.0,1,0,0,0,0,1,1,19116221.0
537,572,0,6,5,0.0,1,0,0,0,0,1,1,29600000.0
1064,670,0,10,4,10.0,1,1,0,0,0,0,1,43900000.0
356,360,1,3,6,5.0,0,1,0,0,0,0,1,18900000.0
1064,670,0,10,4,10.0,1,1,0,0,0,0,0,195000.0
356,360,1,3,6,5.0,0,1,0,0,0,0,0,125000.0
120,120,1,1,2,52.0,0,1,0,0,0,0,0,15500.0
80,104,0,2,2,0.0,0,1,0,0,0,0,0,15600.0
429,380,0,1,10,86.0,0,1,0,0,0,0,0,57000.0
1289,546,0,0,9,20.0,0,1,0,0,0,0,0,120000.0
719,719,0,5,12,30.0,0,1,0,0,0,0,0,110000.0
90,130,0,1,4,5.0,0,1,0,0,0,0,0,30000.0
320,600,0,0,9,10.0,0,1,0,0,0,0,0,39000.0
358,448,0,4,11,46.0,1,1,0,0,0,0,0,57000.0
183,140,0,4,9,4.0,1,1,0,0,0,0,0,35000.0
579,340,0,0,11,50.0,1,1,0,0,0,0,0,85000.0
500,600,0,5,3,,1,1,0,0,0,0,0,63000.0
600,700,0,2,9,0.0,1,1,0,0,0,0,0,95000.0
200,200,0,2,3,2.0,0,1,0,0,0,0,0,26000.0
1610,950,0,5,3,30.0,0,1,0,0,0,0,0,165000.0
350,550,0,4,5,15.0,0,1,0,0,0,0,0,45000.0
350,350,0,2,4,15.0,1,1,0,0,0,0,0,35000.0
535,411,0,5,3,0.0,1,1,0,0,0,0,0,110000.0
286,250,0,0,4,40.0,0,1,0,0,0,0,0,25520.0
9,9,1,0,1,30.0,0,1,0,0,0,0,0,8000.0
101,171,0,2,2,10.0,1,1,0,0,0,0,0,23000.0
260,320,0,3,4,0.0,1,1,0,0,0,0,0,36000.0
409,560,0,4,6,30.0,0,1,0,0,0,0,0,75000.0
151,144,0,1,4,40.0,1,1,0,0,0,0,0,19000.0
150,200,0,0,4,45.0,1,1,0,0,0,0,0,19000.0
0,250,0,3,4,20.0,1,1,0,0,0,0,0,38000.0
101,171,0,2,2,10.0,1,1,0,0,0,0,0,23000.0
161,175,0,2,3,27.0,0,1,0,0,0,0,0,19500.0
286,250,0,0,4,40.0,0,1,0,0,0,0,0,25520.0
150,200,0,0,4,45.0,1,1,0,0,0,0,0,19000.0
400,380,0,3,4,30.0,1,1,0,0,0,0,0,49000.0
1500,1999,0,18,12,40.0,0,1,0,0,0,0,0,110000.0
240,185,0,1,3,55.0,0,1,0,0,0,0,0,40000.0
240,350,0,1,7,56.0,0,1,0,0,0,0,0,65000.0
76,116,0,1,3,30.0,1,1,0,0,0,0,0,12500.0
1168,1350,0,4,3,40.0,1,1,0,0,0,0,0,220000.0
231,296,0,3,6,49.0,0,1,0,0,0,0,0,30000.0
380,500,0,5,4,33.0,0,1,0,0,0,0,0,45000.0
889,1084,0,8,10,45.0,0,1,0,0,0,0,0,130000.0
1000,350,0,0,3,10.0,0,1,0,0,0,0,0,35000.0
589,1130,0,4,4,35.0,1,1,0,0,0,0,0,70000.0
520,610,0,4,4,35.0,1,1,0,0,0,0,0,59000.0
530,415,0,2,3,0.0,1,1,0,0,0,0,0,105000.0
140,140,1,0,1,25.0,0,1,0,0,0,0,0,5500.0
550,480,0,13,9,3.0,0,1,0,0,0,0,0,76000.0
100,200,0,1,3,25.0,1,1,0,0,0,0,0,19500.0
160,113,0,1,2,35.0,0,1,0,0,0,0,0,15000.0
300,429,0,4,4,30.0,1,1,0,0,0,0,0,55000.0
25,25,0,0,3,0.0,0,1,0,0,0,0,0,6300.0
217,297,0,4,4,15.0,1,1,0,0,0,0,0,18000.0
1450,1450,0,6,4,0.0,0,1,0,0,0,0,0,400000.0
160,136,0,2,3,15.0,1,1,0,0,0,0,0,15500.0
950,900,0,6,3,3.0,1,1,0,0,0,0,0,200000.0
718,1276,0,2,3,40.0,1,1,0,0,0,0,0,120000.0
349,407,0,2,6,0.0,0,1,0,0,0,0,0,26000.0
200,160,0,2,3,30.0,0,1,0,0,0,0,0,14000.0
247,247,0,0,8,30.0,0,1,0,0,0,0,0,40000.0
530,415,0,2,3,0.0,1,1,0,0,0,0,0,105000.0
507,788,0,4,4,35.0,1,1,0,0,0,0,0,50000.0
250,250,0,2,2,50.0,0,1,0,0,0,0,0,39600.0
310,410,0,2,4,1.0,1,1,0,0,0,0,0,43000.0
300,0,0,2,0,0.0,1,1,0,0,0,0,0,48000.0
589,1137,0,4,5,5.0,1,1,0,0,0,0,0,75000.0
76,116,0,1,3,30.0,1,1,0,0,0,0,0,12500.0
438,440,0,0,0,2.0,0,1,0,0,0,0,0,95000.0
889,1084,0,8,10,45.0,0,1,0,0,0,0,0,130000.0
240,240,0,1,3,30.0,0,1,0,0,0,0,0,33000.0
506,523,0,7,5,3.0,0,1,0,0,0,0,0,65000.0
300,429,0,4,4,30.0,1,1,0,0,0,0,0,55000.0
550,480,0,13,9,3.0,0,1,0,0,0,0,0,76000.0
140,140,1,0,1,25.0,0,1,0,0,0,0,0,5500.0
128,181,0,2,2,15.0,0,1,0,0,0,0,0,15400.0
68,194,0,2,4,10.0,0,1,0,0,0,0,0,25000.0
495,495,0,16,8,0.0,0,1,0,0,0,0,0,169000.0
25,25,0,0,3,0.0,0,1,0,0,0,0,0,6300.0
160,113,0,1,2,35.0,0,1,0,0,0,0,0,15000.0
950,900,0,6,3,3.0,1,1,0,0,0,0,0,200000.0
1187,958,0,12,12,20.0,0,1,0,0,0,0,0,95000.0
1168,1350,0,4,3,40.0,1,1,0,0,0,0,0,220000.0
507,788,0,4,4,35.0,1,1,0,0,0,0,0,50000.0
2000,2000,0,0,0,0.0,0,1,0,0,0,0,0,230000.0
300,429,0,4,4,30.0,1,1,0,0,0,0,0,55000.0
1000,350,0,0,3,10.0,0,1,0,0,0,0,0,35000.0
589,1130,0,4,4,35.0,1,1,0,0,0,0,0,70000.0
241,170,0,0,5,15.0,0,1,0,0,0,0,0,36000.0
500,600,0,3,5,100.0,0,1,0,0,0,0,0,55000.0
100,200,0,1,3,25.0,1,1,0,0,0,0,0,19500.0
520,610,0,4,4,35.0,1,1,0,0,0,0,0,59000.0
600,700,0,2,9,10.0,0,1,0,0,0,0,0,95000.0
51,97,1,0,1,5.0,0,1,0,0,0,0,0,9000.0
500,650,0,3,5,6.0,1,1,0,0,0,0,0,60000.0
9,9,1,0,1,25.0,0,1,0,0,0,0,0,8000.0
217,297,0,4,4,15.0,1,1,0,0,0,0,0,18000.0
280,320,0,2,3,0.0,1,1,0,0,0,0,0,52000.0
80,100,1,0,2,30.0,1,1,0,0,0,0,0,8000.0
160,110,1,0,2,25.0,0,1,0,0,0,0,0,10000.0
80,1,0,2,3,1.0,1,1,0,0,0,0,0,16000.0
250,250,0,0,1,7.0,0,1,0,0,0,0,0,8500.0
600,300,0,4,4,10.0,1,1,0,0,0,0,0,33000.0
