ID,LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,ZONA,CIUDAD,PROVINCIA,PAIS,tipo_operacion,tipo_inmueble,precio_venta,precio_alquiler
62HTAJ,90,90,0,2,2,5,1,Jardines de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,13000
2KBDB0,300,300,0,2,3,15,0,El Palomar,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,28000
ALTA CALIFORNIA C12,109,104,0,2,3,6,1,Alta California Residencial,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,11000
PAT,510,560,0,4,3,30,1,Lomas de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,8500000,35000
MEBC5C83,90,90,0,2,3,4,1,Adamar,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,11900
6306DB,108,120,0,2,3,8,1,Tlajomulco Centro,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,12000
61L6CJ,140,175,0,2,3,4,1,Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,17500
62GHMD,119,153,0,2,3,15,1,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,17000
626G1O,254,232,0,3,3,6,1,La Rioja,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,28000
EB-UH8208,1,106,0,2,3,10,1,La Tijera,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,12500
62O26E,85,95,1,1,2,A estrenar,1,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,8500
2RL7RN,0,120,0,1,4,5,0,Real del Sol,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,14000
62M6I4,185,156,0,2,3,6,1,Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,16000
GAVILANES VENTA,1050,490,0,3,3,20,1,Los Gavilanes Poniente,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,14900000,65000
605JAD,330,380,0,4,3,8,1,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,15900000,1
61L6CJ,140,175,0,2,3,4,1,Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,17500
62DFEG,140,180,0,2,3,8,1,Las Villas,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,25500
61EI1J,91,95,0,2,2,8,1,Adamar,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,10500
62O26E,85,95,1,1,2,A estrenar,1,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,8500
2RL7RN,0,120,0,1,4,5,0,Real del Sol,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,14000
62KPF2,243,156,0,3,5,12,1,Casa Fuerte,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,16000
EB-OD8512,1410,807,0,8,4,6,1,El Palomar,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,13890000,70000
62T60K,90,91,0,2,2,A estrenar,1,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,12000
62HTAJ,90,90,0,2,2,5,1,Jardines de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,13000
62H591,126,174,0,2,2,A estrenar,0,Arboleda Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,4400000,18000
RTAALTACALIFORNIA237,79,109,0,2,3,3,0,Alta California Residencial,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,9000
5RLCPQ,183,250,0,2,3,15,1,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,5500000,24000
62LKQO,90,99,0,3,2,5,1,Jardines de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,14000
IHO7376616,140,190,0,2,3,12,0,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,20600
62S759,150,150,0,2,3,4,1,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,16500
5P2A7F,620,640,0,3,6,A estrenar,0,Cielo Contry Club,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,32190000,150000
626G1O,254,232,0,3,3,6,1,La Rioja,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,28000
321,0,100,0,2,2,3,0,Hacienda Santa Cruz,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,13000
EB-UH8208,1,106,0,2,3,10,1,La Tijera,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,12500
62Q8EL,90,120,0,2,3,15,1,Lomas de San Agustin,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,9800
62M4T2,89,80,0,1,3,5,0,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,11800
62S16T,139,170,0,2,4,12,0,San Agustín,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,15900
62GHMD,119,153,0,2,3,15,1,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,17000
62QLIA,1000,650,0,4,4,30,1,Campo de Golf Santa Anita Condominio,Tlajomulco de Zúñiga,Jalisco,Mexico,venta / renta,Casa,19000000,45000
2KBDB0,300,300,0,2,3,15,0,El Palomar,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,28000
RC44TR1102UR,90,119,0,2,3,5,1,Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,renta,Casa,0,14000
60SFEQ,675,725,0,4,4,1,1,Puerta de Hierro,Zapopan,Jalisco,Mexico,renta,Casa,0,85000
62OLCS,203,302,0,2,4,A estrenar,0,San Andrés Cholula,San Andrés Cholula,Puebla,Mexico,renta,Casa,0,27000
GRR,2000,500,0,6,5,15,0,Jurica,Querétaro,Querétaro,Mexico,renta,Casa,0,98000
61FG08,150,278,0,2,3,A estrenar,0,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,27700
EB-JK9419,150,200,0,2,2,1,1,Temozón Norte,Mérida,Yucatán,Mexico,renta,Casa,0,19000
C-MA037,250,356,0,3,4,A estrenar,0,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,55000
592453--434,208,399,0,0,5,26,0,Olímpica,Coyoacán,Ciudad de México,Mexico,renta,Casa,0,46000
6299CI,182,220,0,2,4,7,1,Cancún,Benito Juárez,Quintana Roo,Mexico,venta / renta,Casa,6550000,40000
QHO7020389,435,605,0,4,4,12,1,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,68000
EB-TO1625,964,380,0,3,2,7,0,Fincas Ecuestres de Haras,Amozoc,Puebla,Mexico,renta,Casa,0,30000
Renta CASA PARAÍSO,599,220,0,3,3,5,0,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,renta,Casa,0,4500
62DFJQ,395,330,0,3,4,6,1,Cancún,Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,60000
CASA LUNA,103,72,1,2,2,10,1,Cancún,Cancún,Quintana Roo,Mexico,renta,Casa,0,15000
IHO7516442,160,240,0,2,3,21,1,Lomas Manuel Avila Camacho,Naucalpan de Juárez,Edo. de México,Mexico,renta,Casa,0,32500
3LSM0F,374,243,0,2,3,7,1,"Lagos del Sol, Cancún",Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,50000
536633--487,100,62,1,1,2,12,1,Centro,Xochitepec,Morelos,Mexico,renta,Casa,0,7000
EB-SV9312,700,550,0,4,4,12,1,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,85000
593597--612,160,200,0,2,3,9,1,"Aqua Residencial, Cancún",Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,29000
657935,143,400,0,3,3,12,1,Lomas de las Aguilas,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,56000
5QP58A,1333,1000,0,19,6,42,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta / renta,Casa,35900000,240000
EB-TP2216,309,415,0,3,4,A estrenar,1,Bosques de las Misiones,Santiago,Nuevo León,Mexico,venta / renta,Casa,13000000,55000
CaVRN/NNO6173,2000,412,0,10,6,30,0,San Bartolo Ameyalco,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,45000
6300TO,768,727,0,3,5,15,0,"Santa Fe, Juriquilla",Querétaro,Querétaro,Mexico,venta / renta,Casa,14300000,69000
62BNB7,140,110,0,2,3,4,0,Cancún,Benito Juárez,Quintana Roo,Mexico,venta / renta,Casa,3500000,17500
5SQI11,640,480,0,6,4,5,0,"Lagos del Sol, Cancún",Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,92000
9394789,400,400,0,3,4,1,1,"Zona Hotelera, Cancún",Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,135000
EB-TQ8774,753,604,0,6,5,13,1,Valle Real,Zapopan,Jalisco,Mexico,renta,Casa,0,97000
62ATJM,800,700,0,8,5,9,1,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,89000
61NPH6,282,252,0,2,3,1,0,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,40000
Donatella,195,388,0,2,4,10,1,"Polanco II Sección, Polanco",Miguel Hidalgo,Ciudad de México,Mexico,renta,Casa,0,118000
RCS-QHO7171132,300,309,0,3,3,5,1,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,46000
CaVRN/NNO6173,2000,412,0,10,6,30,0,San Bartolo Ameyalco,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,45000
657935,143,400,0,3,3,12,1,Lomas de las Aguilas,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,56000
EB-UC6151,130,200,0,2,3,A estrenar,1,Las Animas,Puebla,Puebla,Mexico,renta,Casa,0,21000
ALAMOS1RENTA,600,425,0,4,4,25,1,Alamos ,Cancún,Quintana Roo,Mexico,renta,Casa,0,38495
RCS_QHO6482963,170,250,0,2,4,3,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,26000
21102025,1250,1100,0,8,4,A estrenar,0,Rancho San Juan,Atizapán de Zaragoza,Edo. de México,Mexico,renta,Casa,0,120000
EB-UO2057,575,296,0,4,3,2,1,Dzityá,Mérida,Yucatán,Mexico,renta,Casa,0,25000
61QASJ,240,290,0,2,3,4,0,Privanzas del Campestre,Arteaga,Coahuila,Mexico,renta,Casa,0,37900
JCE-AureaIolita,170,170,0,2,3,1,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,19000
5S8N12,246,380,0,3,5,1,1,La Vista Residencial,Querétaro,Querétaro,Mexico,venta / renta,Casa,8950000,47000
BHO6096597,230,230,0,2,3,A estrenar,1,"Zona Hotelera, Cancún",Benito Juárez,Quintana Roo,Mexico,renta,Casa,0,50000
RENTAJARDINES1ELIA,98,105,1,2,3,8,1,Jardines del Sur,Cancún,Quintana Roo,Mexico,renta,Casa,0,15250
EB-LO8155,418,327,0,6,5,35,1,Bosques de la Herradura,Huixquilucan,Edo. de México,Mexico,renta,Casa,0,40000
LAS,261,327,0,3,3,10,1,Juriquilla,Querétaro,Querétaro,Mexico,renta,Casa,0,39000
EB-TT2850,1299,1673,0,2,14,65,0,Centro Histórico,Morelia,Michoacán,Mexico,renta,Casa,0,280000
EB-TC1828,1000,750,0,10,4,40,1,Lomas Hipódromo,Naucalpan de Juárez,Edo. de México,Mexico,renta,Casa,0,100000
RCS-QAP7192291,155,155,0,2,2,A estrenar,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,32000
61PSCK,2034,1300,0,6,4,26,0,Cuajimalpa de Morelos,Cuajimalpa de Morelos,Ciudad de México,Mexico,venta / renta,Casa,67500000,250000
EB-TO1625,964,380,0,3,2,7,0,Fincas Ecuestres de Haras,Amozoc,Puebla,Mexico,renta,Casa,0,30000
EB-UJ9190,600,600,0,4,4,9,1,Bosque Real,Huixquilucan,Edo. de México,Mexico,venta / renta,Casa,30000000,150000
FDI,1358,720,0,8,4,30,0,Jurica,Querétaro,Querétaro,Mexico,venta / renta,Casa,13000000,60000
CR-QHO6743229,180,242,0,2,3,A estrenar,0,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,32200
BHO6740842,220,558,0,2,4,A estrenar,1,Ciudad de Cancún,Cancún,Quintana Roo,Mexico,renta,Casa,0,160000
2878c1,96,120,0,1,2,10,1,Reserva Territorial Atlixcáyotl,San Andrés Cholula,Puebla,Mexico,renta,Casa,0,13000
EKS-QHO6999080,398,198,0,3,3,6,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,28000
61NPH6,282,252,0,2,3,1,0,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,40000
RCS-QHO7171132,300,309,0,3,3,5,1,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,46000
CaVRN/NNO6173,2000,412,0,10,6,30,0,San Bartolo Ameyalco,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,45000
657935,143,400,0,3,3,12,1,Lomas de las Aguilas,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,56000
EB-UC6151,130,200,0,2,3,A estrenar,1,Las Animas,Puebla,Puebla,Mexico,renta,Casa,0,21000
ALAMOS1RENTA,600,425,0,4,4,25,1,Alamos ,Cancún,Quintana Roo,Mexico,renta,Casa,0,38495
RCS_QHO6482963,170,250,0,2,4,3,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,26000
21102025,1250,1100,0,8,4,A estrenar,0,Rancho San Juan,Atizapán de Zaragoza,Edo. de México,Mexico,renta,Casa,0,120000
EB-UO2057,575,296,0,4,3,2,1,Dzityá,Mérida,Yucatán,Mexico,renta,Casa,0,25000
61QASJ,240,290,0,2,3,4,0,Privanzas del Campestre,Arteaga,Coahuila,Mexico,renta,Casa,0,37900
JCE-AureaIolita,170,170,0,2,3,1,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,19000
5S8N12,246,380,0,3,5,1,1,La Vista Residencial,Querétaro,Querétaro,Mexico,venta / renta,Casa,8950000,47000
RENTAJARDINES1ELIA,98,105,1,2,3,8,1,Jardines del Sur,Cancún,Quintana Roo,Mexico,renta,Casa,0,15250
RCS_QHO7331445,270,280,0,3,4,2,0,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,44800
EB-LO8155,418,327,0,6,5,35,1,Bosques de la Herradura,Huixquilucan,Edo. de México,Mexico,renta,Casa,0,40000
LAS,261,327,0,3,3,10,1,Juriquilla,Querétaro,Querétaro,Mexico,renta,Casa,0,39000
EB-TT2850,1299,1673,0,2,14,65,0,Centro Histórico,Morelia,Michoacán,Mexico,renta,Casa,0,280000
EB-TC1828,1000,750,0,10,4,40,1,Lomas Hipódromo,Naucalpan de Juárez,Edo. de México,Mexico,renta,Casa,0,100000
RCS-QAP7192291,155,155,0,2,2,A estrenar,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,32000
EB-TO1625,964,380,0,3,2,7,0,Fincas Ecuestres de Haras,Amozoc,Puebla,Mexico,renta,Casa,0,30000
EB-UJ9190,600,600,0,4,4,9,1,Bosque Real,Huixquilucan,Edo. de México,Mexico,venta / renta,Casa,30000000,150000
FDI,1358,720,0,8,4,30,0,Jurica,Querétaro,Querétaro,Mexico,venta / renta,Casa,13000000,60000
CR-QHO6743229,180,242,0,2,3,A estrenar,0,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,32200
BHO6740842,220,558,0,2,4,A estrenar,1,Ciudad de Cancún,Cancún,Quintana Roo,Mexico,renta,Casa,0,160000
2878c1,96,120,0,1,2,10,1,Reserva Territorial Atlixcáyotl,San Andrés Cholula,Puebla,Mexico,renta,Casa,0,13000
EKS-QHO6999080,398,198,0,3,3,6,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,28000
RCS-QHO7171132,300,309,0,3,3,5,1,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,46000
CaVRN/NNO6173,2000,412,0,10,6,30,0,San Bartolo Ameyalco,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,45000
657935,143,400,0,3,3,12,1,Lomas de las Aguilas,Alvaro Obregón,Ciudad de México,Mexico,renta,Casa,0,56000
EB-UC6151,130,200,0,2,3,A estrenar,1,Las Animas,Puebla,Puebla,Mexico,renta,Casa,0,21000
ALAMOS1RENTA,600,425,0,4,4,25,1,Alamos ,Cancún,Quintana Roo,Mexico,renta,Casa,0,38495
RCS_QHO6482963,170,250,0,2,4,3,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,26000
21102025,1250,1100,0,8,4,A estrenar,0,Rancho San Juan,Atizapán de Zaragoza,Edo. de México,Mexico,renta,Casa,0,120000
EB-UO2057,575,296,0,4,3,2,1,Dzityá,Mérida,Yucatán,Mexico,renta,Casa,0,25000
61QASJ,240,290,0,2,3,4,0,Privanzas del Campestre,Arteaga,Coahuila,Mexico,renta,Casa,0,37900
JCE-AureaIolita,170,170,0,2,3,1,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,19000
5S8N12,246,380,0,3,5,1,1,La Vista Residencial,Querétaro,Querétaro,Mexico,venta / renta,Casa,8950000,47000
RENTAJARDINES1ELIA,98,105,1,2,3,8,1,Jardines del Sur,Cancún,Quintana Roo,Mexico,renta,Casa,0,15250
RCS_QHO7331445,270,280,0,3,4,2,0,El Campanario,Querétaro,Querétaro,Mexico,renta,Casa,0,44800
EB-LO8155,418,327,0,6,5,35,1,Bosques de la Herradura,Huixquilucan,Edo. de México,Mexico,renta,Casa,0,40000
LAS,261,327,0,3,3,10,1,Juriquilla,Querétaro,Querétaro,Mexico,renta,Casa,0,39000
EB-TT2850,1299,1673,0,2,14,65,0,Centro Histórico,Morelia,Michoacán,Mexico,renta,Casa,0,280000
EB-TC1828,1000,750,0,10,4,40,1,Lomas Hipódromo,Naucalpan de Juárez,Edo. de México,Mexico,renta,Casa,0,100000
RCS-QAP7192291,155,155,0,2,2,A estrenar,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,32000
EB-TO1625,964,380,0,3,2,7,0,Fincas Ecuestres de Haras,Amozoc,Puebla,Mexico,renta,Casa,0,30000
EB-UJ9190,600,600,0,4,4,9,1,Bosque Real,Huixquilucan,Edo. de México,Mexico,venta / renta,Casa,30000000,150000
FDI,1358,720,0,8,4,30,0,Jurica,Querétaro,Querétaro,Mexico,venta / renta,Casa,13000000,60000
CR-QHO6743229,180,242,0,2,3,A estrenar,0,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,renta,Casa,0,32200
BHO6740842,220,558,0,2,4,A estrenar,1,Ciudad de Cancún,Cancún,Quintana Roo,Mexico,renta,Casa,0,160000
2878c1,96,120,0,1,2,10,1,Reserva Territorial Atlixcáyotl,San Andrés Cholula,Puebla,Mexico,renta,Casa,0,13000
EKS-QHO6999080,398,198,0,3,3,6,1,Zibatá,El Marqués,Querétaro,Mexico,renta,Casa,0,28000