ID,LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,ZONA,CIUDAD,PROVINCIA,PAIS,tipo_operacion,tipo_inmueble,precio_venta,precio_alquiler,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
62TBO4,299,300,0,4,2,3,0,Juriquilla,Querétaro,Querétaro,Mexico,venta,Casa,6000000,0,
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
EB-PL2956,225,131,0,2,3,A estrenar,1,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3210000,0,
EB-UL9127,1015,1000,0,6,5,10,0,Jesús del Monte,Huixquilucan,Edo. de México,Mexico,venta,Casa,68000000,0,
UHO7177282,180,310,0,0,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,6870000,0,
6102PN,500,438,0,4,3,34,1,Jardines del Ajusco,Tlalpan,Ciudad de México,Mexico,venta,Casa,11500000,0,
VOF6139124,242,272,0,1,3,30,1,Providencia,Guadalajara,Jalisco,Mexico,venta,Casa,11500000,0,
EB-TS4002,495,450,0,4,3,A estrenar,1,Santa Isabel,Zapopan,Jalisco,Mexico,venta,Casa,24890000,0,
612912,700,580,0,6,4,7,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,19750000,0,
EB-RO8608,108,120,0,2,3,A estrenar,0,Ciudad Maderas Residencial,El Marqués,Querétaro,Mexico,venta,Casa,2328000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
5566,450,340,0,4,4,A estrenar,1,Fraccionamiento Paraíso Country Club,Emiliano Zapata,Morelos,Mexico,venta,Casa,15500000,0,
TERRACOTA HOMES,0,0,0,0,0,0,0,Zirándaro,San Miguel de Allende,Guanajuato,Mexico,,Desarrollo horizontal,0,0,
EB-UP2396,317,252,0,2,3,A estrenar,1,Pueblo Conkal,Conkal,Yucatán,Mexico,venta,Casa,4850000,0,
DREAM DIAMANTE,0,0,0,0,0,0,0,Alfredo V Bonfil,Acapulco de Juárez,Guerrero,Mexico,,Desarrollo horizontal/vertical,0,0,
595981--612,337,352,0,2,4,14,1,Supermanzana 50,Cancún,Quintana Roo,Mexico,venta,Casa,4700000,0,
62NL3G,140,274,0,2,5,A estrenar,1,Villa Magna,San Luis Potosí,San luis Potosí,Mexico,venta,Casa,4720000,0,
EB-UN1622,900,693,0,3,4,25,1,San Jerónimo Lídice,La Magdalena Contreras,Ciudad de México,Mexico,venta,Casa,20100000,0,
EB-TK6177,283,176,0,2,3,A estrenar,0,Dzityá,Mérida,Yucatán,Mexico,venta,Casa,3750000,0,
630O3M,238,400,0,6,6,A estrenar,1,Fraccionamiento Mítica Residencial,Zapopan,Jalisco,Mexico,venta,Casa,16199900,0,
62IANO,81,119,0,1,3,4,1,Los Olivos,Playa del Carmen,Solidaridad,Quintana Roo,Mexico,venta,Casa,2900000,0
T469,209,209,0,2,3,A estrenar,0,Tulum,Quintana Roo,Mexico,venta,Casa,5650000,0,,
567183--297,348,351,0,2,3,14,1,Fraccionamiento La Querencia,San Pedro Cholula,Puebla,Mexico,venta,Casa,9600000,0,
Casa CIRUELA I,1010,300,0,4,4,15,1,San Diego,Ixtapan de la Sal,Edo. de México,Mexico,venta,Casa,7990000,0,
EB-PI8416,318,190,0,0,3,A estrenar,0,Cholul,Mérida,Yucatán,Mexico,venta,Casa,3500000,0,
594685--434,163,159,0,3,3,29,1,Santiago Tepalcatlalpan,Xochimilco,Ciudad de México,Mexico,venta,Casa,4300000,0,
588321--434,248,273,0,3,3,41,0,Ex-Ejido de San Francisco CulhuacAn,Coyoacán,Ciudad de México,Mexico,venta,Casa,7680000,0,
5RE394,265,308,0,2,4,9,0,Fraccionamiento Cumbres del Lago,Querétaro,Querétaro,Mexico,venta,Casa,4700000,0,
520,150,310,0,3,4,A estrenar,0,Bosque Esmeralda,Atizapán de Zaragoza,Edo. de México,Mexico,venta / renta,Casa,10450000,49500,
60O125,0,1104,0,13,4,6,0,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,75000000,0,
